AT	V	AP	RH	PE
30.97	69.13	1009.78	58.92	435.6
22.44	63.86	1020	64.83	447.3
20.83	67.32	1011.76	73.11	443.17
21.96	58.79	1012.1	88.74	447.31
20.04	58.2	1017.56	74.31	448.92
21.93	61.45	1008.92	98.54	443.91
14.38	44.84	1024.59	81.68	471.6
5.74	37.8	1021.37	74.47	490.81
24.77	69.71	1009.86	85.56	441.29
22.98	58.46	1016.06	72.69	445.05
16.58	37.64	1015.23	81.59	460.48
27.04	69.98	1008.5	75.41	433.25
24.91	57.17	1010.88	72.97	446.01
26.07	69.23	1013.32	54.03	436.94
21.95	68.63	1012.8	61.55	448.9
13.42	48.04	1011.63	99.32	461.36
11.6	40.27	1008.55	72.12	473.89
30.69	71.98	1004.53	65.86	430.33
6.8	39.37	1020.24	73.29	487.33
23.62	68.63	1013.18	50.57	447.3
26.01	61.47	1009.54	75.01	435.78
16.16	25.88	1009.58	72.24	461.86
22.85	60.29	1017.29	61.92	448.58
17.78	50.66	1015.09	91.9	456.11
7.98	40.77	1008.69	98.65	480.72
24.42	66.56	1002.04	84.7	434.18
12.38	41.62	1012.37	84.15	461.07
22.12	69.71	1009.7	90.22	434.42
22.11	59.44	1012.82	84.67	448.15
22.38	49.3	1003.56	83.83	441
14.72	40.83	1009.65	80.98	469.8
16.34	47.45	1009.41	92.96	448.59
24.88	71.94	1006.85	87.32	433.3
21.61	64.63	1020.86	69.73	451.02
25.07	56.85	1011.25	51.99	442.44
25.77	59.39	1014.76	69.99	438.64
18.59	44.63	1003.99	86.22	459.65
27.01	69.75	1009.78	81.29	442.57
17.47	58.59	1014.03	97.13	449.41
8.64	34.69	1026.79	80.88	482.15
16.09	44.2	1019.39	67.24	460.56
23.3	52.84	1003.97	72.16	439.49
22.68	50.78	1008.83	70.3	447.69
24.94	62.96	1019.76	58.44	443.48
7.3	43.65	1019.33	67.62	482.96
20.86	67.25	1017.45	81.45	444.5
14.41	42.77	1019.84	82.54	465.89
31.77	76.09	1007.4	73.36	431.69
26.48	51.43	1006.76	74.3	438.1
9.23	39.66	1019.44	76.11	481.77
28.15	71.25	1000.51	81.04	431.28
