AT	V	AP	RH	PE
21.19	67.71	1006.65	56.28	441.71
26.63	73.68	1015.15	85.13	428.8
24.75	69.45	1013.97	53.49	438.28
22.32	70.47	1010.97	83.16	441.87
29.01	70.32	1007.26	60.55	429.23
24.8	61.02	1009.86	71.75	438.96
25.47	59.92	1010.08	77.18	439.84
23.51	48.98	1014.63	41.56	454.06
25.44	66.54	1011.9	56.76	437.99
23.57	66.75	1018.06	80.19	439.71
26.76	48.41	1010.53	47.38	440.63
29.12	67.83	1008.05	46.86	432.46
25.33	48.6	1002.54	68.45	442.48
28.53	69.84	1004.46	68.03	427.72
25.23	61.86	1013	76.18	441.48
28.56	69.51	1012.45	46.59	434.35
24.48	64.45	1014.69	51.43	452.82
24.55	58.86	1015.22	60.53	445.8
25.54	61.08	1013.14	71.15	447.06
25.02	60.29	1017.49	54.75	445.61
22.66	69.84	1006.16	82.79	439.06
21.19	42.48	1013.43	80.52	469.76
28.5	71.32	1002.54	69.35	435.7
30.57	58.9	1004.54	54.37	438.49
27.86	63.07	1011.11	56.81	440.48
29.12	66.56	1006.9	49.79	429.94
27.97	58.84	1002.25	57.88	446.11
22.72	64.15	1021.14	60.34	453.13
27.63	71.98	1005.45	82.88	426
28.71	64.69	1006.52	68.38	435.85
27.13	59.54	1004.33	73.27	438.32
24.26	69.71	1008.98	81.58	438.6
30.22	70.32	1011.63	65.97	435.98
30.71	64.05	1011.75	62.81	438.42
30.02	73.5	1010.52	44.91	429.84
27.11	69.75	1009.74	85.67	433.28
28.28	61.47	1009.44	60.89	443.12
20.99	50.78	1008.55	75.14	449.07
23.09	60.95	1015.02	68.78	450.31
23.35	63.47	1011.78	84.24	437.87
23.29	68.51	1013.19	77.81	441.17
28.07	66.17	1010.58	64.11	443.77
27.64	75.6	1017.35	54.78	441.04
20.59	59.8	1015.27	77.94	453.83
31.18	77.95	1014.89	65.62	431.58
26.38	65.12	1016.1	47.57	441.07
25.36	60.07	1015.06	66.11	439.73
24.43	65.27	1013.25	55.4	440.99
24.88	63.91	1009.41	77.75	447.28
20.71	58.18	1007.63	98.44	447.06
23.63	58.98	1010.99	81.16	444.43
31.93	70.4	1005.27	73.71	432.29
29.34	70.94	1007.82	62.43	433.57
27	59.15	1013.12	61.39	440.58
23.66	77.54	1008.5	85.32	435.38
27.41	74.67	1016.57	80.16	429.21
26.34	68.67	1006.54	72.48	437.52
24.73	69.94	1006.09	59.15	439.86
21.12	47.24	1003.79	70.55	462.41
29.24	74.67	1015.81	59.95	432.61
29.9	74.99	1002.28	59.76	436.77
25.37	58.33	1013.49	51.42	444.46
25.76	63.94	1018.49	42.14	445.78
30.34	75.08	1005.32	52.97	437.26
34.66	74.33	1012	32.19	425.89
23.69	63.77	1013.39	79.5	444.07
26.86	71.14	1007.11	76.61	426.97
27.35	77.95	1017.43	73.36	437.61
24.94	67.69	1008.86	68.97	439.08
26.09	60.29	1017.72	50.83	444.71
23.61	63.94	1012.9	87.06	441.57
21.34	48.06	1014.49	63.23	458.13
26.25	66.56	1008.29	60.65	436.3
20.51	63.86	1020.65	75.36	447.18
30.75	73.5	1011.02	54.76	429.18
30.4	71.97	1008.42	76.28	430.23
28.37	75.6	1017.48	55.19	439.25
26.02	63.07	1010.94	53.96	446.82
21.65	56.89	1013.13	66.07	445.93
31.08	59.57	1010.76	60.49	442.88
28.62	70.32	1008.87	46.67	431.03
24.94	59.07	1008.89	84.79	440.12
29.53	70.94	1007.22	70.68	432.43
27.21	66.49	1013.57	40.11	439.04
21.54	58.49	1010.85	78.9	449.12
24.66	58.86	1013.86	56.39	444.42
20.84	51.19	1008.63	84.11	448.98
21.85	58.33	1013.03	66.39	447.31
30.68	73.67	1005.63	57.05	429.64
21.27	57.5	1014.53	80.76	453.34
29.65	71.25	1001.07	73.97	430.88
24.38	60.84	1017.85	62.23	440.85
24.32	65.48	1017.55	59.02	443.31
32.09	69.4	1003.1	56.91	430.62
21.75	58.79	1012.42	87.58	447.58
24.04	51.95	1006.13	73.92	450.07
30.01	65.18	1012.87	43.95	436.91
28.43	63.31	1013.44	49.99	432.62
30.58	70.04	1010.4	48.16	431.59
23.04	74.22	1009.52	90.93	440.32
27.09	49.3	1003.93	61	437.44
20.61	44.63	1008.54	77.54	456.68
32.1	69.98	1013.31	55.84	431.09
28.57	51.43	1012.02	47.79	450.04
28.69	71.29	1009.22	68.35	433.07
24.1	52.84	1006.47	47.58	444.69
25.36	61.41	1011.89	55.64	452.29
22.7	63.56	1014.32	71.76	445
23.27	68.28	1005.01	74.83	444.86
32.38	73.91	1004.05	61.69	430.17
27.16	56.85	1012.07	39.05	437.4
20.94	58.16	1016.88	65.43	455.16
28.22	76.2	1006.11	62.17	437.62
30.18	65.74	1012.63	47.74	441.65
28.01	65.34	1014.68	46.86	440.77
26.31	71.29	1009.87	84.16	432.92
28.73	68.3	1016.53	55.73	434.15
24.78	50.78	1008.81	62.97	443.98
29.36	78.05	1011.12	64.17	434.29
24.01	46.93	1013.3	52.24	448.35
20.53	65.06	1016.69	73.47	446.64
